================================================================================
📈 DAILY MARKET PROFILE & OPTIONS POST-MORTEM REPORT (2026-08-14)
================================================================================
This report details the conjoint GEX/PCR predictions, complete trade outcomes, 
and automated machine learning diagnostics compiled immediately following today's close.

--------------------------------------------------------------------------------
1. CONJOINT INDEX GEX & PCR MARKET STATE
--------------------------------------------------------------------------------
* NSE:NIFTY
  - Spot Close: 24366.00
  - Final PCR: 0.884 (Drift: 0.149)
  - Key Walls: Call Wall at 24500 | Put Wall at 24000
  - Gamma Flip Zone: 24350
  - Conjoint State: +GEX (Positive Gamma / Low Volatility)

* NSE:BANKNIFTY
  - Spot Close: 57491.10
  - Final PCR: 0.787 (Drift: -0.059)
  - Key Walls: Call Wall at 58000 | Put Wall at 57000
  - Gamma Flip Zone: 57500
  - Conjoint State: -GEX (Negative Gamma / High Volatility)

--------------------------------------------------------------------------------
2. DAILY OPTIONS TRADES SUMMARY
--------------------------------------------------------------------------------
Symbol          | Strategy                     | Type   | Dir   | Entry   | Target  | SL      | Status        | P&L Pts
------------------------------------------------------------------------------------------------------------------------
BPCL            | Monthly Gap Fade Trap        | SWING  | SHORT | 314.05   | 309.00   | 328.15   | STOP_LOSS_HIT | -14.10  
BHEL            | Monthly POC Reversion        | SWING  | SHORT | 408.55   | 404.00   | 424.00   | STOP_LOSS_HIT | -15.45  
BPCL            | Monthly Gap Fade Trap        | SWING  | SHORT | 312.35   | 309.00   | 328.15   | STOP_LOSS_HIT | -15.80  
BPCL            | Monthly Gap Fade Trap        | SWING  | SHORT | 313.00   | 309.00   | 328.15   | STOP_LOSS_HIT | -15.15  
NMDC            | Monthly Gap Fade Trap        | SWING  | SHORT | 84.93    | 84.00    | 87.19    | TARGET_HIT    | 0.93    
TATAPOWER       | Monthly Gap Fade Trap        | SWING  | SHORT | 379.35   | 376.00   | 384.20   | STOP_LOSS_HIT | -4.85   
TATAPOWER       | Monthly Gap Fade Trap        | SWING  | SHORT | 379.85   | 376.00   | 384.20   | STOP_LOSS_HIT | -4.35   
OANDA:XAUUSD    | 3:15 PM BTST Close           | BTST   | SHORT | 4378.62  | 4273.53  | 4413.65  | TARGET_HIT    | 20.99   
NMDC            | Monthly Gap Fade Trap        | SWING  | SHORT | 84.92    | 84.00    | 87.19    | TARGET_HIT    | 0.92    
NMDC            | Monthly Gap Fade Trap        | SWING  | SHORT | 84.78    | 84.00    | 87.19    | TARGET_HIT    | 0.78    
NMDC            | Monthly Gap Fade Trap        | SWING  | SHORT | 84.73    | 84.00    | 87.19    | TARGET_HIT    | 0.73    
BHARTIARTL      | Monthly Gap Fade Trap        | SWING  | SHORT | 1949.90  | 1930.00  | 2031.00  | STOP_LOSS_HIT | -81.10  
BPCL            | Monthly Gap Fade Trap        | SWING  | SHORT | 313.65   | 309.00   | 328.15   | STOP_LOSS_HIT | -14.50  
SBICARD         | Monthly Gap Fade Trap        | SWING  | SHORT | 647.50   | 602.00   | 674.20   | TARGET_HIT    | 45.50   
SBICARD         | Monthly Gap Fade Trap        | SWING  | SHORT | 647.00   | 602.00   | 674.20   | TARGET_HIT    | 45.00   
360ONE          | 3:15 PM BTST Close           | BTST   | BUY   | 1179.30  | 1207.60  | 1169.87  | STOP_LOSS_HIT | -0.30   
AMBUJACEM       | 3:15 PM BTST Close           | BTST   | SHORT | 418.30   | 408.26   | 421.65   | STOP_LOSS_HIT | -1.30   
ASTRAL          | 3:15 PM BTST Close           | BTST   | BUY   | 1595.30  | 1633.59  | 1582.54  | STOP_LOSS_HIT | -12.76  
BLUESTARCO      | 3:15 PM BTST Close           | BTST   | BUY   | 1511.30  | 1547.57  | 1499.21  | TARGET_HIT    | 8.50    
BPCL            | Monthly Gap Fade Trap        | SWING  | SHORT | 315.05   | 309.00   | 328.15   | STOP_LOSS_HIT | -13.10  
CHOLAFIN        | 3:15 PM BTST Close           | BTST   | BUY   | 1921.10  | 1967.21  | 1905.73  | STOP_LOSS_HIT | -15.37  
PAYTM           | 3:15 PM BTST Close           | BTST   | BUY   | 1643.60  | 1683.05  | 1630.45  | STOP_LOSS_HIT | -13.15  
GMRINFRA        | 3:15 PM BTST Close           | BTST   | SHORT | 102.53   | 100.07   | 103.35   | STOP_LOSS_HIT | -0.37   
GODREJCP        | 3:15 PM BTST Close           | BTST   | BUY   | 937.00   | 959.49   | 929.50   | TARGET_HIT    | 2.30    
HINDUNILVR      | 3:15 PM BTST Close           | BTST   | BUY   | 2090.00  | 2140.16  | 2073.28  | STOP_LOSS_HIT | -1.00   
HINDZINC        | 3:15 PM BTST Close           | BTST   | SHORT | 574.90   | 561.10   | 579.50   | TARGET_HIT    | 13.80   
ICICIGI         | 3:15 PM BTST Close           | BTST   | SHORT | 1620.10  | 1581.22  | 1633.06  | STOP_LOSS_HIT | -7.90   
INOXWIND        | 3:15 PM BTST Close           | BTST   | SHORT | 73.53    | 71.77    | 74.12    | STOP_LOSS_HIT | -0.34   
KPITTECH        | 3:15 PM BTST Close           | BTST   | BUY   | 620.75   | 635.65   | 615.78   | STOP_LOSS_HIT | -4.97   
SAIL            | Monthly Gap Fade Trap        | SWING  | SHORT | 167.62   | 165.00   | 180.11   | TARGET_HIT    | 2.62    
SBICARD         | Monthly Gap Fade Trap        | SWING  | SHORT | 643.35   | 602.00   | 674.20   | TARGET_HIT    | 41.35   
SOLARINDS       | 3:15 PM BTST Close           | BTST   | BUY   | 20337.00 | 20825.09 | 20174.30 | STOP_LOSS_HIT | -162.70 
BSE             | Weekly POC Reversion         | SWING  | LONG  | 3595.00  | 3600.00  | 3480.00  | STOP_LOSS_HIT | 115.00  
CIPLA           | Weekly POC Reversion         | SWING  | LONG  | 1461.90  | 1465.00  | 1455.00  | TARGET_HIT    | -3.10   
APOLLOHOSP      | Monthly Gap Fade Trap        | SWING  | SHORT | 8723.00  | 8890.00  | 9049.00  | STOP_LOSS_HIT | -326.00 
BHARATFORG      | Monthly Gap Fade Trap        | SWING  | SHORT | 2084.30  | 2130.00  | 2295.00  | TARGET_HIT    | -45.70  
BHARTIARTL      | Monthly Gap Fade Trap        | SWING  | SHORT | 1941.30  | 1930.00  | 2031.00  | STOP_LOSS_HIT | -89.70  
CROMPTON        | Auction Magnet               | INTRADAY | SHORT | 246.30   | 245.10   | 247.04   | TARGET_HIT    | 1.20    
DELHIVERY       | Auction Magnet               | INTRADAY | SHORT | 467.25   | 466.25   | 468.65   | STOP_LOSS_HIT | -1.40   
DELHIVERY       | Weekly POC Reversion         | SWING  | SHORT | 475.15   | 470.00   | 477.00   | TARGET_HIT    | 5.15    
GODREJPROP      | Auction Magnet               | INTRADAY | BUY   | 2019.00  | 2029.10  | 2012.94  | TARGET_HIT    | 10.10   
ALKEM           | Monthly Gap Fade Trap        | SWING  | SHORT | 5405.00  | 5650.00  | 5771.00  | TARGET_HIT    | -245.00 
AMBUJACEM       | Auction Magnet               | INTRADAY | SHORT | 419.60   | 418.00   | 420.86   | TARGET_HIT    | 1.60    
APOLLOHOSP      | Monthly Gap Fade Trap        | SWING  | SHORT | 8842.50  | 8890.00  | 9049.00  | TARGET_HIT    | -47.50  
BSE             | Auction Magnet               | INTRADAY | SHORT | 3500.90  | 3491.00  | 3511.40  | TARGET_HIT    | 9.90    
CAMS            | Monthly Gap Fade Trap        | SWING  | SHORT | 767.20   | 770.00   | 830.50   | TARGET_HIT    | -2.80   
