================================================================================
📈 DAILY MARKET PROFILE & OPTIONS POST-MORTEM REPORT (2026-09-07)
================================================================================
This report details the conjoint GEX/PCR predictions, complete trade outcomes, 
and automated machine learning diagnostics compiled immediately following today's close.

--------------------------------------------------------------------------------
1. CONJOINT INDEX GEX & PCR MARKET STATE
--------------------------------------------------------------------------------
* NSE:NIFTY
  - Spot Close: 23779.15
  - Final PCR: 0.570 (Drift: -0.065)
  - Key Walls: Call Wall at 24000 | Put Wall at 23700
  - Gamma Flip Zone: 23800
  - Conjoint State: -GEX (Negative Gamma / High Volatility)

* NSE:BANKNIFTY
  - Spot Close: 57088.30
  - Final PCR: 0.970 (Drift: 0.005)
  - Key Walls: Call Wall at 57500 | Put Wall at 57000
  - Gamma Flip Zone: 57100
  - Conjoint State: -GEX (Negative Gamma / High Volatility)

--------------------------------------------------------------------------------
2. DAILY OPTIONS TRADES SUMMARY
--------------------------------------------------------------------------------
Symbol          | Strategy                     | Type   | Dir   | Entry   | Target  | SL      | Status        | P&L Pts
------------------------------------------------------------------------------------------------------------------------
HINDPETRO       | G-Period Options Breakout    | INTRADAY | SHORT | 351.25   | 348.79   | 353.71   | STOP_LOSS_HIT | -2.46   
HINDPETRO       | Weekly POC Reversion         | SWING  | LONG  | 358.90   | 362.00   | 357.00   | STOP_LOSS_HIT | 1.90    
KPITTECH        | 3:15 PM BTST Close           | BTST   | SHORT | 560.45   | 547.00   | 564.93   | TARGET_HIT    | 13.45   
KPITTECH        | G-Period Options Breakout    | INTRADAY | SHORT | 563.60   | 559.65   | 567.55   | STOP_LOSS_HIT | -3.95   
KPITTECH        | Weekly POC Reversion         | SWING  | LONG  | 585.50   | 588.00   | 580.00   | STOP_LOSS_HIT | 5.50    
KPITTECH        | Monthly POC Reversion        | SWING  | LONG  | 586.90   | 590.00   | 584.00   | STOP_LOSS_HIT | 2.90    
HDFCLIFE        | 3:15 PM BTST Close           | BTST   | SHORT | 536.65   | 523.77   | 540.94   | ACTIVE        | 0.00    
HDFCLIFE        | Monthly POC Reversion        | SWING  | SHORT | 542.75   | 540.00   | 546.00   | TARGET_HIT    | 2.75    
HINDALCO        | G-Period Options Breakout    | INTRADAY | SHORT | 1003.50  | 996.48   | 1010.52  | STOP_LOSS_HIT | -7.02   
