================================================================================
📈 DAILY MARKET PROFILE & OPTIONS POST-MORTEM REPORT (2026-09-18)
================================================================================
This report details the conjoint GEX/PCR predictions, complete trade outcomes, 
and automated machine learning diagnostics compiled immediately following today's close.

--------------------------------------------------------------------------------
1. CONJOINT INDEX GEX & PCR MARKET STATE
--------------------------------------------------------------------------------
* NSE:NIFTY
  - Spot Close: 23346.40
  - Final PCR: 1.111 (Drift: 0.116)
  - Key Walls: Call Wall at 23400 | Put Wall at 23300
  - Gamma Flip Zone: 23350
  - Conjoint State: -GEX (Negative Gamma / High Volatility)

* NSE:BANKNIFTY
  - Spot Close: 56358.70
  - Final PCR: 0.965 (Drift: 0.140)
  - Key Walls: Call Wall at 57000 | Put Wall at 56000
  - Gamma Flip Zone: 56400
  - Conjoint State: -GEX (Negative Gamma / High Volatility)

--------------------------------------------------------------------------------
2. DAILY OPTIONS TRADES SUMMARY
--------------------------------------------------------------------------------
Symbol          | Strategy                     | Type   | Dir   | Entry   | Target  | SL      | Status        | P&L Pts
------------------------------------------------------------------------------------------------------------------------
DMART           | Liquidity Sweep Reversal     | INTRADAY | LONG  | 3685.80  | 3721.70  | 3682.40  | TARGET_HIT    | -35.90  
DIVISLAB        | Liquidity Sweep Reversal     | INTRADAY | SHORT | 9370.00  | 9135.50  | 9385.50  | STOP_LOSS_HIT | -15.50  
DLF             | Morning Reversal Fade        | INTRADAY | SHORT | 651.00   | 640.60   | 653.70   | TARGET_HIT    | 10.40   
EICHERMOT       | Morning Reversal Fade        | INTRADAY | LONG  | 7514.50  | 7559.00  | 7499.00  | TARGET_HIT    | -44.50  
EICHERMOT       | Liquidity Sweep Reversal     | INTRADAY | LONG  | 7514.50  | 7559.00  | 7513.00  | TARGET_HIT    | -44.50  
DIXON           | Morning Reversal Fade        | INTRADAY | LONG  | 13139.00 | 13383.00 | 13066.00 | TARGET_HIT    | -244.00 
GODREJCP        | Balance Breakout Trap        | SWING  | SHORT | 875.45   | 866.80   | 877.10   | STOP_LOSS_HIT | -1.65   
GVT&D           | Morning Reversal Fade        | INTRADAY | LONG  | 4363.40  | 4433.90  | 4357.50  | TARGET_HIT    | -70.50  
GMRINFRA        | Morning Reversal Fade        | INTRADAY | SHORT | 97.20    | 95.41    | 97.40    | TARGET_HIT    | 1.79    
